ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRPublicCode;ArRXEpsg2154;ArRYEpsg2154;ZdAId;ArRGeopoint;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone
463057;1022156-44453;2019-01-27T19:00:00-05:00;2023-11-22T13:44:34-05:00;Pointe du Lac;metro;-;660629;6852207;44453;48.7687613633955, 2.4643173127220406;Créteil;94028;false;unknown;unknown;3
483423;1445357-1370657;2022-01-10T19:00:00-05:00;2023-11-22T13:44:28-05:00;Bagneux - Lucie Aubrac;metro;-;649872;6856156;483280;48.80353046825455, 2.3174994408541068;Bagneux;92007;false;true;true;3
483900;1390431-1389589;2022-05-09T16:50:35-04:00;2023-11-22T13:44:28-05:00;Aimé Césaire;metro;-;654417;6867784;483901;48.908437579721735, 2.378130845167059;Aubervilliers;93001;false;true;true;2
483904;1390421-1470335;2022-05-10T05:25:24-04:00;2023-11-22T13:44:28-05:00;Mairie d'Aubervilliers;metro;-;654616;6868372;483899;48.91373922486035, 2.3807826993163257;Aubervilliers;93001;false;true;true;2
412354;474767-45559;2015-02-12T09:24:46-05:00;2023-11-22T13:43:25-05:00;Funiculaire Gare basse;metro;-;651791;6865165;45559;48.88469469848608, 2.3426045332495997;Paris 18e;75118;false;false;false;1
463310;1488599-44833;2019-01-28T19:00:00-05:00;2023-07-10T05:04:26-04:00;Simplon;metro;-;652180;6866176;44833;48.89381526040398, 2.3477949681871215;Paris 18e;75118;false;true;true;1
483314;1368805-1370657;2021-12-13T19:00:00-05:00;2022-01-11T12:02:28-05:00;Bagneux - Lucie Aubrac;metro;-;649869;6856158;483280;48.803548221642515, 2.3174583620498854;Bagneux;92007;false;true;true;3
463166;1351959-1328227;2019-01-28T19:00:00-05:00;2021-11-12T12:50:50-05:00;Créteil - L'Échat;metro;-;659556;6855311;45712;48.796611080012006, 2.4494240470133715;Créteil;94028;false;true;true;2
22211;1351953-1328227;2014-12-28T19:00:00-05:00;2021-11-12T12:50:34-05:00;Créteil - L'Échat;metro;-;659552;6855311;45712;48.79661082916301, 2.449369595613371;Créteil;94028;false;true;true;2
463019;1351925-1026949;2019-01-27T19:00:00-05:00;2021-11-12T12:35:58-05:00;Bastille;metro;-;653675;6861510;42288;48.851964219163854, 2.368692796099788;Paris 12e;75112;false;true;true;1
